team,lat,lon,had2021,STUSPS
Air Force,39.01,-104.89,1,CO
Alabama,33.2108,-87.5461,1,AL
Alaska,61.1899,-149.827,0,AK
Arizona,32.2319,-110.9527,1,AZ
Arizona State,33.4209,-111.934,1,AZ
Arkansas,36.0687,-94.176,1,AR
Auburn,32.603,-85.486,1,AL
Ball State,40.1983,-85.4089,1,IN
Boise State,43.604,-116.204,1,ID
Bowling Green,41.38,-83.63,1,OH
Bridgeport,41.28,-73.3186,0,CT
Brockport,43.2119,-77.95,0,NY
Brown,41.8261,-71.4031,0,RI
BYU,40.25,-111.649,1,UT
California,37.8728,-122.2602,1,CA
Centenary College,32.484,-93.732,1,LA
Central Michigan,43.5898,-84.7775,1,MI
Cornell,42.4536,-76.4739,0,NY
Cortland State,42.597,-76.1893,0,NY
Denver,39.6783,-104.9622,1,CO
Eastern Michigan,42.2502,-83.6245,1,MI
Fisk,36.1688,-86.8047,.,TN
Florida,29.6475,-82.345,1,FL
George Washington,38.9007,-77.0508,1,DC
Georgia,33.9558,-83.3745,1,GA
Greenville,38.8936,-89.4086,1,IL
Gustavus Adolphus,44.3228,-93.9736,1,MN
Hamline,44.9658,-93.1654,1,MN
Illinois,40.1106,-88.2283,1,IL
Illinois State,40.511,-88.993,1,IL
Iowa,41.6617,-91.5364,1,IA
Iowa State,42.0262,-93.648,1,IA
Ithaca College,42.4218,-76.4947,0,NY
Kent State,41.1469,-81.3433,1,OH
Kentucky,38.0325,-84.5025,1,KY
Lindenwood,38.787,-90.503,1,MO
LIU,40.8189,-73.5939,1,NY
LSU,30.4145,-91.1783,1,LA
Maryland,38.988,-76.943,1,MD
Michigan,42.2769,-83.7381,1,MI
Michigan State,42.725,-84.48,1,MI
Minnesota,44.975,-93.2353,1,MN
Missouri,38.9453,-92.3288,1,MO
Nebraska,40.8175,-96.7014,1,NE
New Hampshire,43.1363,-70.9322,1,NH
North Carolina,35.9086,-79.0492,1,NC
North Carolina State,35.7872,-78.6706,1,NC
Northern Illinois,41.9339,-88.7778,1,IL
Ohio State,40,-83.0125,1,OH
Oklahoma,35.2088,-97.4457,1,OK
Oregon State,44.5639,-123.2747,1,OR
Penn State,40.7983,-77.86,1,PA
Pennsylvania,39.95,-75.19,0,PA
Pittsburgh,40.4446,-79.9533,1,PA
Rhode Island College,41.8422,-71.4612,0,RI
Rutgers,40.5025,-74.4486,1,NJ
S.E. Missouri,37.3151,-89.5294,1,MO
Sacramento State,38.5602,-121.4241,0,CA
San Jose State,37.3353,-121.8813,1,CA
Seattle Pacific,47.6502,-122.3617,.,WA
Simpson,41.3645,-93.565,1,IA
Southern Conn.,41.3325,-72.9475,0,CT
Southern Utah,37.6754,-113.0716,1,UT
Springfield College,42.1043,-72.5551,0,MA
Stanford,37.4275,-122.17,1,CA
Temple,39.9814,-75.1544,1,PA
Texas Woman's,33.225,-97.128,1,TX
Towson,39.3944,-76.6083,1,MD
UC Davis,38.54,-121.75,0,CA
UCLA,34.0722,-118.4427,1,CA
UIC,41.8717,-87.6492,.,IL
Ursinus College,40.1934,-75.4559,0,PA
Utah,40.7642,-111.8465,1,UT
Utah State,41.745,-111.809,1,UT
UW-Eau Claire,44.79895,-91.499346,1,WI
UW-La Crosse,43.8155,-91.231,1,WI
UW-Oshkosh,44.0267,-88.5508,1,WI
UW-Stout,44.8697,-91.9278,1,WI
UW-Whitewater,42.8383,-88.7432,1,WI
Washington,47.6541,-122.308,1,WA
West Chester,39.95219,-75.6001,0,PA
West Virginia,39.6458,-79.9697,1,WV
Western Michigan,42.2833,-85.6139,1,MI
William & Mary,37.2708,-76.7083,1,VA
Winona State,44.0475,-91.6433,1,MN
Yale,41.3164,-72.9222,0,CT
